Stephen Roberts|I contend that we are both atheists. I just believe in one fewer god than you do. When you understand why you dismiss all the other possible gods, you will understand why I dismiss yours 
Seneca the Younger 4 b.c.- 65 a.d.|Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful. 
Blaise Pascal|Men never commit evil so fully and joyfully as when they do it for religious convictions 
Emo Philips|When I was a kid I used to pray every night for a new bicycle. Then I realised that the Lord doesn't work that way so I stole one and asked Him to forgive me. 
Richard Jeni|You're basically killing each other to see who's got the better imaginary friend 
Bertrand Russell|And if there were a God, I think it very unlikely that He would have such an uneasy vanity as to be offended by those who doubt His existence 
George Bernard Shaw|The fact that a believer is happier than a skeptic is no more to the point than the fact that a drunken man is happier than a sober one 
Epicurus|Is God willing to prevent evil, but not able? Then he is not omnipotent. Is he able, but not willing? Then he is malevolent. Is he both able and willing? Then whence cometh evil? Is he neither able nor willing? Then why call him God? 
Doug McLeod|I still say a church steeple with a lightning rod on top shows a lack of confidence 
Unknown|Philosophy is questions that may never be answered. Religion is answers that may never be questioned. 
unknown|Don't pray in my school, and I won't think in your church 
Gene Roddenberry|We must question the story logic of having an all-knowing all-powerful God, who creates faulty Humans, and then blames them for his own mistakes 
Carl Sagan|You can't convince a believer of anything; for their belief is not based on evidence, it's based on a deep-seated need to believe. 
Steven Weinberg|With or without religion, you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion. 
Richard Lederer (Anguished English)|There once was a time when all people believed in God and the church ruled. This time was called the Dark Ages. 
Unknown|Two hands working can do more than a thousand clasped in prayer 
George Carlin|Religion has actually convinced people that there's an invisible man -- living in the sky -- who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do.. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!  ..But He loves you.
Ferdinand Magellan|The church says the earth is flat, but I know that it is round, for I have seen the shadow on the moon, and I have more faith in a shadow than in the church 
Albert Einstein|A man's ethical behavior should be based effectually on sympathy, education, and social ties; no religious basis is necessary. Man would indeed be in a poor way if he had to be restrained by fear of punishment and hope of reward after death 
Galileo Galilei|I do not think it is necessary to believe that the same God who has given us our senses, reason, and intelligence wished us to abandon their use, giving us by some other means the information that we could gain through them 
Delos B. McKown|The invisible and the non-existent look very much alike 
Napoleon Bonaparte|Religion is excellent stuff for keeping common people quiet 
Unknown|Blind faith is an ironic gift to return to the Creator of human intelligence. 
Unknown|George Bush says he speaks to god every day, and christians love him for it. If George Bush said he spoke to god through his hair dryer, they would think he was mad. I fail to see how the addition of a hair dryer makes it any more absurd. 
unknown|Give a man a fish and he will eat for a day; teach a man to fish and he will eat for a lifetime; give a man religion and he will die praying for a fish 
Aldous Huxley|"Facts do not cease to exist because they are ignored." 
Robert A. Heinlein|Men rarely (if ever) manage to dream up a God superior to themselves. Most Gods have the manners and morals of a spoiled child. 
Carl Sagan|Extraordinary claims require extraordinary evidence 
Voltaire|Those who believe absurdities will commit atrocities 
Marie|Man created God in his image : intolerant, sexist, homophobic and violent. 
Thomas Jefferson|I have examined all the known superstitions of the world, and I do not find in our particular superstition of Christianity one redeeming feature. They are all alike founded on fables and mythology. 
H. L. Mencken|We must respect the other fellow's religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart 
William Drummond|He that will not reason is a bigot; he that cannot reason is a fool; he that dares not reason is a slave 
Friedrich Nietzsche|Which is it, is man one of God's blunders or is God one of man's? 
Robert G. Ingersoll|As people become more intelligent they care less for preachers and more for teachers 
John Adams, 2nd President of the United States|The Government of the United States is in no sense founded on the Christian religion. 
Tenzin Gyatso, 14th Dalai Lama, 1988|We must conduct research and then accept the results. If they don't stand up to experimentation, Buddha's own words must be rejected. 
Carlespie Mary Alice McKinney|Religion does three things quite effectively: Divides people, Controls people, Deludes people. 
Giulian Buzila|History teaches us that no other cause has brought more death than the word of god. 
Benjamin Franklin|The way to see by faith is to shut the eye of reason 
Coral Yoshi|So you really think that God would plant a bunch of bones in the earth to test your faith?  Either you're in denial or God has some serious self-esteem issues. 
Bumper sticker|You keep believing, I'll keep evolving 
unknown|People who don't like their beliefs being laughed at shouldn't have such funny beliefs 
Justin Brown|If the Bible is mistaken in telling us where we came from, how can we trust it to tell us where we're going? 
Mark Twain|The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also 
Justin Brown|An Atheist believes that a hospital should be built instead of a church. An Atheist believes that deed must be done instead of a prayer said. An Atheist strives for involvement in life and not escape into death. He wants disease conquered, poverty vanishe d, war eliminated
Gustaf Lindborg|The sailor does not pray for wind, he learns to sail 
Russian Proverb|Pray to God, fine; but keep rowing to shore. 
Arthur C. Clarke|I would defend the liberty of consenting adult creationists to practice whatever intellectual perversions they like in the privacy of their own homes; but it is also necessary to protect the young and innocent. 
Terry Pratchett|The presence of those seeking the truth is infinitely to be preferred to the presence of those who think they've found it. 
Edith Sitwell|I am patient with stupidity, but not with those who are proud of it. 
Donald Morgan|Jesus' last words on the cross, "My God, my God, why hast thou forsaken me?" hardly seem like the words of a man who planned it that way. It doesn't take Sherlock Holmes to figure there is something wrong here. 
Douglas Adams|I refuse to prove that I exist," says God, "for proof denies faith, and without faith I am nothing. 
Richard Dawkins|Be thankful that you have a life, and forsake your vain and presumptuous desire for a second one. 
Richard Francis Burton (1821-1890)|The more I study religions the more I am convinced that man never worshipped anything but himself. 
James Morrow|"There are no atheists in foxholes" isn't an argument against atheism, it's an argument against foxholes 
Richard Feynman|But I don't have to know an answer. I don't feel frightened by not knowing things, by being lost in the mysterious universe without having any purpose — which is the way it really is, as far as I can tell, possibly. It doesn't frighten me 
